ts,tenant,latency_ms,status,phase
1784411653.025,default-org,395.806,200,warmup
1784411653.421,default-org,366.371,200,warmup
1784411653.787,default-org,156.912,200,warmup
1784411653.944,default-org,162.832,200,warmup
1784411654.107,default-org,191.236,200,warmup
1784411654.299,default-org,165.454,200,warmup
1784411654.464,default-org,181.38,200,warmup
1784411654.645,default-org,178.289,200,warmup
1784411654.824,default-org,163.583,200,warmup
1784411654.987,default-org,165.804,200,warmup
1784411655.153,default-org,297.589,200,warmup
1784411655.451,default-org,169.231,200,warmup
1784411655.62,default-org,160.76,200,warmup
1784411655.781,default-org,164.901,200,warmup
1784411655.946,default-org,165.788,200,warmup
1784411656.111,default-org,185.56,200,warmup
1784411656.297,default-org,194.481,200,warmup
1784411656.492,default-org,164.105,200,warmup
1784411656.656,default-org,306.218,200,warmup
1784411656.962,default-org,175.792,200,warmup
1784411657.138,default-org,203.006,200,warmup
1784411657.341,default-org,157.122,200,warmup
1784411657.498,default-org,172.81,200,warmup
1784411657.671,default-org,146.968,200,warmup
1784411657.818,default-org,167.656,200,warmup
1784411657.985,default-org,249.756,200,warmup
1784411658.235,default-org,158.955,200,warmup
1784411658.394,default-org,184.936,200,warmup
1784411658.579,default-org,162.984,200,warmup
1784411658.742,default-org,160.853,200,warmup
1784411658.903,default-org,148.225,200,warmup
1784411659.051,default-org,163.205,200,warmup
1784411659.214,default-org,157.62,200,warmup
1784411659.372,default-org,180.766,200,warmup
1784411659.553,default-org,213.335,200,warmup
1784411659.766,default-org,149.202,200,warmup
1784411659.915,default-org,191.382,200,warmup
1784411660.107,default-org,150.926,200,warmup
1784411660.258,default-org,164.888,200,warmup
1784411660.423,default-org,168.36,200,warmup
1784411660.591,default-org,160.986,200,warmup
1784411660.752,default-org,167.785,200,warmup
1784411660.92,default-org,188.703,200,warmup
1784411661.109,default-org,157.762,200,warmup
1784411661.266,default-org,157.433,200,warmup
1784411661.424,default-org,164.064,200,warmup
1784411661.588,default-org,189.979,200,warmup
1784411661.778,default-org,151.593,200,warmup
1784411661.93,default-org,153.017,200,warmup
1784411662.083,default-org,174.787,200,warmup
1784411662.257,default-org,213.87,200,warmup
1784411662.471,default-org,147.656,200,warmup
1784411662.619,default-org,155.99,200,warmup
1784411662.775,default-org,156.802,200,warmup
1784411662.932,default-org,149.189,200,warmup
1784411663.081,default-org,165.442,200,warmup
1784411663.246,default-org,179.185,200,warmup
1784411663.426,default-org,165.175,200,warmup
1784411663.591,default-org,183.152,200,warmup
1784411663.774,default-org,162.738,200,warmup
1784411663.937,default-org,154.798,200,warmup
1784411664.092,default-org,155.553,200,warmup
1784411664.247,default-org,167.133,200,warmup
1784411664.414,default-org,161.366,200,warmup
1784411664.576,default-org,210.964,200,warmup
1784411664.787,default-org,164.655,200,warmup
1784411664.951,default-org,156.978,200,warmup
1784411665.108,default-org,173.803,200,warmup
1784411665.282,default-org,337.171,200,warmup
1784411665.619,default-org,160.096,200,warmup
1784411665.78,default-org,165.977,200,warmup
1784411665.946,default-org,173.193,200,warmup
1784411666.119,default-org,164.659,200,warmup
1784411666.283,default-org,155.147,200,warmup
1784411666.439,default-org,206.426,200,warmup
1784411666.645,default-org,176.703,200,warmup
1784411666.822,default-org,161.0,200,warmup
1784411666.983,default-org,159.735,200,warmup
1784411667.143,default-org,187.579,200,warmup
1784411667.33,default-org,156.621,200,warmup
1784411667.487,default-org,167.957,200,warmup
1784411667.655,default-org,241.4,200,warmup
1784411667.896,default-org,154.822,200,warmup
1784411668.051,default-org,350.664,200,warmup
1784411668.402,default-org,157.313,200,warmup
1784411668.559,default-org,174.633,200,warmup
1784411668.734,default-org,161.631,200,warmup
1784411668.895,default-org,159.924,200,warmup
1784411669.055,default-org,199.968,200,warmup
1784411669.255,default-org,440.491,200,warmup
1784411669.696,default-org,175.566,200,warmup
1784411669.871,default-org,209.751,200,warmup
1784411670.081,default-org,218.261,200,warmup
1784411670.299,default-org,380.289,200,warmup
1784411670.68,default-org,185.767,200,warmup
1784411670.866,default-org,171.856,200,warmup
1784411671.037,default-org,148.769,200,warmup
1784411671.186,default-org,158.739,200,warmup
1784411671.345,default-org,187.959,200,warmup
1784411671.533,default-org,176.508,200,warmup
1784411671.709,default-org,189.924,200,warmup
1784411671.899,default-org,208.377,200,warmup
1784411672.108,default-org,163.496,200,warmup
1784411672.271,default-org,189.995,200,warmup
1784411672.461,default-org,175.109,200,warmup
1784411672.636,default-org,168.148,200,warmup
1784411672.805,default-org,411.061,200,warmup
1784411673.216,default-org,152.502,200,measure
1784411673.368,default-org,160.449,200,measure
1784411673.529,default-org,154.238,200,measure
1784411673.683,default-org,155.331,200,measure
1784411673.838,default-org,159.95,200,measure
1784411673.998,default-org,239.507,200,measure
1784411674.238,default-org,158.925,200,measure
1784411674.397,default-org,304.16,200,measure
1784411674.701,default-org,75.425,200,measure
1784411674.776,default-org,54.796,200,measure
1784411674.831,default-org,63.132,200,measure
1784411674.894,default-org,55.261,200,measure
1784411674.95,default-org,52.098,200,measure
1784411675.002,default-org,57.647,200,measure
1784411675.059,default-org,56.014,200,measure
1784411675.115,default-org,55.549,200,measure
1784411675.171,default-org,50.047,200,measure
1784411675.221,default-org,58.338,200,measure
1784411675.279,default-org,53.581,200,measure
1784411675.333,default-org,55.811,200,measure
1784411675.389,default-org,60.187,200,measure
1784411675.449,default-org,59.978,200,measure
1784411675.509,default-org,52.978,200,measure
1784411675.562,default-org,58.528,200,measure
1784411675.621,default-org,259.951,200,measure
1784411675.881,default-org,53.054,200,measure
1784411675.934,default-org,49.781,200,measure
1784411675.983,default-org,55.257,200,measure
1784411676.039,default-org,56.695,200,measure
1784411676.095,default-org,54.93,200,measure
1784411676.15,default-org,56.324,200,measure
1784411676.207,default-org,53.77,200,measure
1784411676.261,default-org,61.546,200,measure
1784411676.322,default-org,56.865,200,measure
1784411676.379,default-org,52.287,200,measure
1784411676.431,default-org,53.506,200,measure
1784411676.485,default-org,54.474,200,measure
1784411676.539,default-org,53.32,200,measure
1784411676.593,default-org,57.988,200,measure
1784411676.651,default-org,58.816,200,measure
1784411676.71,default-org,51.123,200,measure
1784411676.761,default-org,62.989,200,measure
1784411676.824,default-org,56.96,200,measure
1784411676.881,default-org,64.368,200,measure
1784411676.945,default-org,54.96,200,measure
1784411677.0,default-org,57.242,200,measure
1784411677.057,default-org,56.898,200,measure
1784411677.114,default-org,60.382,200,measure
1784411677.175,default-org,54.818,200,measure
1784411677.229,default-org,55.124,200,measure
1784411677.285,default-org,52.25,200,measure
1784411677.337,default-org,58.41,200,measure
1784411677.395,default-org,57.388,200,measure
1784411677.453,default-org,56.787,200,measure
1784411677.51,default-org,62.949,200,measure
1784411677.572,default-org,64.893,200,measure
1784411677.637,default-org,53.547,200,measure
1784411677.691,default-org,52.816,200,measure
1784411677.744,default-org,68.826,200,measure
1784411677.813,default-org,58.734,200,measure
1784411677.871,default-org,57.69,200,measure
1784411677.929,default-org,57.951,200,measure
1784411677.987,default-org,52.118,200,measure
1784411678.039,default-org,56.93,200,measure
1784411678.096,default-org,53.894,200,measure
1784411678.15,default-org,76.04,200,measure
1784411678.226,default-org,53.906,200,measure
1784411678.28,default-org,54.257,200,measure
1784411678.334,default-org,56.028,200,measure
1784411678.39,default-org,56.778,200,measure
1784411678.447,default-org,55.994,200,measure
1784411678.503,default-org,58.246,200,measure
1784411678.561,default-org,56.048,200,measure
1784411678.618,default-org,58.914,200,measure
1784411678.676,default-org,52.409,200,measure
1784411678.729,default-org,58.091,200,measure
1784411678.787,default-org,55.643,200,measure
1784411678.843,default-org,54.258,200,measure
1784411678.897,default-org,51.432,200,measure
1784411678.948,default-org,55.472,200,measure
1784411679.004,default-org,65.763,200,measure
1784411679.07,default-org,56.972,200,measure
1784411679.127,default-org,51.47,200,measure
1784411679.178,default-org,57.401,200,measure
1784411679.236,default-org,49.903,200,measure
1784411679.286,default-org,57.801,200,measure
1784411679.343,default-org,58.053,200,measure
1784411679.401,default-org,60.092,200,measure
1784411679.462,default-org,54.165,200,measure
1784411679.516,default-org,56.952,200,measure
1784411679.573,default-org,49.704,200,measure
1784411679.622,default-org,55.645,200,measure
1784411679.678,default-org,57.434,200,measure
1784411679.736,default-org,55.731,200,measure
1784411679.791,default-org,125.321,200,measure
1784411679.917,default-org,63.126,200,measure
1784411679.98,default-org,53.665,200,measure
1784411680.033,default-org,70.521,200,measure
1784411680.104,default-org,57.808,200,measure
1784411680.162,default-org,59.208,200,measure
1784411680.221,default-org,59.872,200,measure
1784411680.281,default-org,57.931,200,measure
1784411680.339,default-org,53.001,200,measure
1784411680.392,default-org,57.188,200,measure
1784411680.449,default-org,54.648,200,measure
1784411680.504,default-org,54.087,200,measure
1784411680.558,default-org,56.346,200,measure
1784411680.614,default-org,53.529,200,measure
1784411680.668,default-org,56.502,200,measure
1784411680.724,default-org,52.723,200,measure
1784411680.777,default-org,56.249,200,measure
1784411680.833,default-org,52.195,200,measure
1784411680.886,default-org,55.601,200,measure
1784411680.941,default-org,73.056,200,measure
1784411681.014,default-org,51.263,200,measure
1784411681.065,default-org,54.534,200,measure
1784411681.12,default-org,53.61,200,measure
1784411681.174,default-org,57.691,200,measure
1784411681.231,default-org,53.093,200,measure
1784411681.284,default-org,60.165,200,measure
1784411681.345,default-org,56.007,200,measure
1784411681.401,default-org,60.88,200,measure
1784411681.462,default-org,55.72,200,measure
1784411681.517,default-org,55.486,200,measure
1784411681.573,default-org,49.867,200,measure
1784411681.623,default-org,53.233,200,measure
1784411681.676,default-org,51.992,200,measure
1784411681.728,default-org,57.459,200,measure
1784411681.785,default-org,67.985,200,measure
1784411681.853,default-org,65.526,200,measure
1784411681.919,default-org,52.38,200,measure
1784411681.971,default-org,76.189,200,measure
1784411682.048,default-org,68.09,200,measure
1784411682.116,default-org,56.552,200,measure
1784411682.172,default-org,52.132,200,measure
1784411682.224,default-org,53.528,200,measure
1784411682.278,default-org,55.09,200,measure
1784411682.333,default-org,59.006,200,measure
