ts,latency_ms,status,phase
1784435114.813,324.236,200,warmup
1784435114.802,391.215,200,warmup
1784435114.806,394.163,200,warmup
1784435114.806,455.777,200,warmup
1784435115.2,434.712,200,warmup
1784435115.194,483.896,200,warmup
1784435115.261,431.363,200,warmup
1784435115.138,585.993,200,warmup
1784435114.804,1198.761,200,warmup
1784435115.693,401.422,200,warmup
1784435115.724,394.145,200,warmup
1784435114.814,1391.015,200,warmup
1784435114.808,1400.543,200,warmup
1784435116.003,231.814,200,warmup
1784435114.808,1688.417,200,warmup
1784435116.094,441.621,200,warmup
1784435116.235,335.728,200,warmup
1784435116.205,392.764,200,warmup
1784435116.208,505.279,200,warmup
1784435115.678,1127.475,200,warmup
1784435115.635,1266.659,200,warmup
1784435116.714,228.95,200,warmup
1784435116.536,485.461,200,warmup
1784435116.598,519.223,200,warmup
1784435116.805,433.233,200,warmup
1784435116.902,375.037,200,warmup
1784435116.118,1384.52,200,warmup
1784435117.238,352.43,200,warmup
1784435117.277,378.307,200,warmup
1784435117.502,158.718,200,warmup
1784435116.497,1213.106,200,warmup
1784435117.661,185.66,200,warmup
1784435117.591,265.921,200,warmup
1784435116.57,1433.561,200,warmup
1784435117.847,186.81,200,warmup
1784435117.857,236.82,200,warmup
1784435116.943,1266.766,200,warmup
1784435118.094,139.388,200,warmup
1784435118.034,285.714,200,warmup
1784435117.117,1287.925,200,warmup
1784435118.21,226.171,200,warmup
1784435118.319,217.194,200,warmup
1784435118.537,102.121,200,warmup
1784435117.021,1680.499,200,warmup
1784435118.436,299.266,200,warmup
1784435118.639,225.374,200,warmup
1784435118.702,188.596,200,warmup
1784435118.891,171.039,200,warmup
1784435117.655,1452.391,200,warmup
1784435117.71,1495.124,200,warmup
1784435119.108,285.963,200,warmup
1784435119.205,286.468,200,warmup
1784435119.393,143.075,200,warmup
1784435118.004,1603.877,200,warmup
1784435118.405,1300.094,200,warmup
1784435119.492,244.823,200,warmup
1784435119.608,181.787,200,warmup
1784435119.706,167.498,200,warmup
1784435119.873,147.56,200,warmup
1784435118.233,1883.733,200,warmup
1784435120.021,152.096,200,warmup
1784435120.117,196.696,200,warmup
1784435118.864,1532.728,200,warmup
1784435118.735,1668.838,200,warmup
1784435119.062,1348.078,200,warmup
1784435120.313,146.372,200,warmup
1784435119.537,1366.917,200,warmup
1784435119.736,1263.795,200,warmup
1784435119.79,1222.82,200,warmup
1784435120.904,173.1,200,warmup
1784435120.397,695.851,200,warmup
1784435120.41,798.203,200,warmup
1784435120.46,835.937,200,warmup
1784435120.404,892.863,200,warmup
1784435120.173,1130.968,200,warmup
1784435121.077,517.624,200,warmup
1784435121.013,610.647,200,warmup
1784435121.0,739.425,200,warmup
1784435121.093,649.132,200,warmup
1784435121.296,498.547,200,warmup
1784435121.594,246.598,200,warmup
1784435121.297,741.45,200,warmup
1784435121.841,199.507,200,warmup
1784435121.208,900.541,200,warmup
1784435122.108,132.345,200,warmup
1784435121.304,998.659,200,warmup
1784435121.623,715.144,200,warmup
1784435122.338,153.355,200,warmup
1784435121.74,800.984,200,warmup
1784435122.04,698.715,200,warmup
1784435122.241,623.427,200,warmup
1784435122.492,466.732,200,warmup
1784435122.864,228.704,200,warmup
1784435122.959,259.079,200,warmup
1784435123.093,243.922,200,warmup
1784435121.742,1666.591,200,warmup
1784435123.218,251.894,200,warmup
1784435123.47,122.27,200,warmup
1784435123.592,93.175,200,warmup
1784435122.038,1668.384,200,warmup
1784435123.707,130.345,200,warmup
1784435123.837,148.514,200,warmup
1784435122.541,1662.991,200,warmup
1784435124.204,135.757,200,warmup
1784435122.302,2104.985,200,warmup
1784435124.339,148.471,200,warmup
1784435122.739,1773.802,200,warmup
1784435124.407,137.886,200,warmup
1784435121.794,2814.227,200,warmup
1784435124.513,167.399,200,warmup
1784435124.609,300.19,200,measure
1784435124.68,260.006,200,measure
1784435123.337,1864.789,200,warmup
1784435124.909,327.678,200,measure
1784435124.94,323.044,200,measure
1784435125.237,154.002,200,measure
1784435123.408,1995.247,200,warmup
1784435125.391,165.054,200,measure
1784435123.685,1923.252,200,warmup
1784435125.404,207.94,200,measure
1784435125.608,154.469,200,measure
1784435125.763,151.835,200,measure
1784435123.986,2014.29,200,warmup
1784435125.915,155.089,200,measure
1784435124.488,1616.495,200,warmup
1784435124.545,1564.56,200,warmup
1784435126.0,394.008,200,measure
1784435126.394,96.482,200,measure
1784435125.202,1302.679,200,measure
1784435126.11,481.31,200,measure
1784435125.263,1338.147,200,measure
1784435126.104,519.585,200,measure
1784435126.504,355.605,200,measure
1784435125.612,1289.888,200,measure
1784435125.556,1349.939,200,measure
1784435126.591,347.05,200,measure
1784435126.86,359.801,200,measure
1784435126.902,326.117,200,measure
1784435126.07,1243.3,200,measure
1784435126.906,430.892,200,measure
1784435126.938,433.837,200,measure
1784435127.372,203.99,200,measure
1784435127.313,282.214,200,measure
1784435126.49,1114.726,200,measure
1784435126.624,1087.257,200,measure
1784435126.602,1202.511,200,measure
1784435127.711,152.756,200,measure
1784435127.804,229.868,200,measure
1784435127.337,760.57,200,measure
1784435127.22,1002.809,200,measure
1784435128.223,144.179,200,measure
1784435127.228,1177.625,200,measure
1784435127.576,1027.958,200,measure
1784435127.605,1088.77,200,measure
1784435127.595,1103.267,200,measure
1784435128.604,151.16,200,measure
1784435127.864,939.346,200,measure
1784435128.097,797.818,200,measure
1784435128.034,886.748,200,measure
1784435128.694,344.711,200,measure
1784435128.367,735.797,200,measure
1784435128.405,793.916,200,measure
1784435128.699,603.875,200,measure
1784435128.895,464.704,200,measure
1784435128.755,643.238,200,measure
1784435128.921,480.454,200,measure
1784435128.803,602.587,200,measure
1784435129.36,369.162,200,measure
1784435129.406,352.628,200,measure
1784435129.399,377.556,200,measure
1784435129.302,488.041,200,measure
1784435129.791,195.991,200,measure
1784435129.199,904.386,200,measure
1784435129.039,1163.853,200,measure
1784435129.776,537.446,200,measure
1784435129.103,1299.53,200,measure
1784435129.759,734.025,200,measure
1784435130.314,224.595,200,measure
1784435130.402,259.327,200,measure
1784435130.104,596.921,200,measure
1784435129.401,1301.546,200,measure
1784435129.729,1075.78,200,measure
1784435129.987,822.102,200,measure
1784435130.203,690.188,200,measure
1784435130.703,237.947,200,measure
1784435130.805,432.109,200,measure
1784435130.893,374.458,200,measure
1784435130.662,631.403,200,measure
1784435130.538,770.01,200,measure
1784435131.308,160.9,200,measure
1784435130.701,794.923,200,measure
1784435130.493,1110.147,200,measure
1784435130.941,751.409,200,measure
1784435130.809,894.536,200,measure
1784435131.603,161.581,200,measure
1784435131.293,598.525,200,measure
1784435131.496,397.968,200,measure
1784435131.692,264.867,200,measure
1784435131.957,176.859,200,measure
1784435131.892,403.177,200,measure
1784435131.894,422.989,200,measure
1784435132.295,92.836,200,measure
1784435131.267,1237.074,200,measure
1784435132.317,205.104,200,measure
1784435132.522,153.247,200,measure
1784435131.469,1229.432,200,measure
1784435131.237,1465.745,200,measure
1784435132.504,286.814,200,measure
1784435132.791,93.616,200,measure
1784435131.703,1398.906,200,measure
1784435132.703,408.159,200,measure
1784435132.699,422.135,200,measure
1784435131.765,1441.004,200,measure
1784435133.111,255.602,200,measure
1784435133.102,268.972,200,measure
1784435132.134,1272.485,200,measure
1784435133.407,176.103,200,measure
1784435132.388,1319.556,200,measure
1784435133.366,345.176,200,measure
1784435133.371,383.631,200,measure
1784435133.707,151.815,200,measure
1784435133.755,239.685,200,measure
1784435132.675,1428.872,200,measure
1784435133.859,268.828,200,measure
1784435133.994,143.034,200,measure
1784435132.885,1416.196,200,measure
1784435133.121,1188.525,200,measure
1784435134.128,226.643,200,measure
1784435134.138,256.734,200,measure
1784435134.301,232.06,200,measure
1784435134.309,224.633,200,measure
1784435134.533,145.415,200,measure
1784435133.206,1502.227,200,measure
1784435133.583,1224.865,200,measure
1784435134.534,359.634,200,measure
1784435134.808,156.846,200,measure
1784435134.708,289.05,200,measure
1784435134.964,227.958,200,measure
1784435134.997,201.821,200,measure
1784435135.192,172.655,200,measure
1784435133.712,1798.817,200,measure
1784435135.51,124.152,200,measure
1784435135.635,136.191,200,measure
1784435134.104,1906.884,200,measure
1784435136.011,127.072,200,measure
1784435136.138,139.505,200,measure
1784435134.355,2149.098,200,measure
1784435134.394,2211.459,200,measure
1784435136.504,216.285,200,measure
1784435134.678,2123.024,200,measure
1784435136.72,135.51,200,measure
1784435134.894,2017.629,200,measure
1784435136.606,317.466,200,measure
1784435135.199,1810.074,200,measure
1784435136.802,393.151,200,measure
1784435135.771,1433.357,200,measure
1784435135.365,1935.358,200,measure
1784435137.009,313.827,200,measure
1784435136.911,427.495,200,measure
1784435137.3,231.609,200,measure
1784435136.277,1326.571,200,measure
1784435137.195,461.003,200,measure
1784435137.204,528.391,200,measure
1784435137.339,440.132,200,measure
1784435137.604,190.322,200,measure
1784435136.855,956.41,200,measure
1784435137.733,208.559,200,measure
1784435137.779,457.241,200,measure
1784435137.812,444.12,200,measure
1784435136.923,1381.868,200,measure
1784435138.305,160.435,200,measure
1784435138.256,277.772,200,measure
1784435138.236,401.433,200,measure
1784435138.534,147.663,200,measure
1784435137.323,1384.695,200,measure
1784435137.532,1372.109,200,measure
1784435138.638,358.088,200,measure
1784435137.656,1349.791,200,measure
1784435138.904,150.252,200,measure
1784435138.707,398.579,200,measure
1784435137.794,1407.159,200,measure
1784435137.941,1357.384,200,measure
1784435139.106,228.3,200,measure
1784435139.201,251.231,200,measure
1784435139.006,589.379,200,measure
1784435139.054,541.619,200,measure
1784435138.682,1019.12,200,measure
1784435139.595,145.971,200,measure
1784435139.701,250.043,200,measure
1784435138.466,1543.258,200,measure
1784435138.996,1016.869,200,measure
1784435140.009,146.716,200,measure
1784435139.334,866.297,200,measure
1784435139.299,910.978,200,measure
1784435140.21,144.765,200,measure
1784435139.596,904.409,200,measure
1784435139.453,1068.183,200,measure
1784435140.501,202.001,200,measure
1784435140.156,639.588,200,measure
1784435140.201,616.416,200,measure
1784435139.741,1164.061,200,measure
1784435140.795,138.671,200,measure
1784435139.951,1058.29,200,measure
1784435141.009,141.692,200,measure
1784435140.013,1195.303,200,measure
1784435140.703,594.772,200,measure
1784435140.354,1047.574,200,measure
1784435141.297,136.385,200,measure
1784435140.817,678.213,200,measure
1784435141.495,138.4,200,measure
1784435140.905,791.821,200,measure
1784435140.521,1183.798,200,measure
1784435140.934,867.969,200,measure
1784435141.697,167.839,200,measure
1784435141.208,785.614,200,measure
1784435141.151,859.551,200,measure
1784435141.402,620.341,200,measure
1784435141.802,256.946,200,measure
1784435142.022,311.315,200,measure
1784435141.705,686.604,200,measure
1784435141.434,1066.033,200,measure
1784435142.01,580.106,200,measure
1784435142.059,534.725,200,measure
1784435142.391,288.44,200,measure
1784435141.634,1064.045,200,measure
1784435141.865,1055.553,200,measure
1784435142.594,421.673,200,measure
1784435142.698,382.013,200,measure
1784435142.59,504.513,200,measure
1784435142.68,475.357,200,measure
1784435141.994,1211.32,200,measure
1784435142.334,969.823,200,measure
1784435142.5,906.969,200,measure
1784435143.205,229.452,200,measure
1784435143.303,253.954,200,measure
1784435142.92,674.461,200,measure
1784435143.595,139.038,200,measure
1784435143.095,718.714,200,measure
1784435143.155,738.594,200,measure
1784435143.434,556.517,200,measure
1784435143.08,926.61,200,measure
1784435143.894,143.913,200,measure
1784435144.006,247.531,200,measure
1784435143.814,477.294,200,measure
1784435143.015,1289.379,200,measure
1784435144.305,154.002,200,measure
1784435144.038,457.902,200,measure
1784435143.407,1103.048,200,measure
1784435144.51,142.632,200,measure
1784435143.557,1148.533,200,measure
1784435144.291,428.83,200,measure
1784435144.496,330.003,200,measure
1784435144.706,152.307,200,measure
1784435143.734,1273.626,200,measure
1784435143.991,1139.607,200,measure
1784435145.131,230.252,200,measure
1784435144.826,566.603,200,measure
1784435144.254,1156.959,200,measure
1784435145.411,148.13,200,measure
1784435144.459,1149.227,200,measure
1784435144.858,835.474,200,measure
1784435144.72,1002.094,200,measure
1784435145.007,786.575,200,measure
1784435144.653,1147.436,200,measure
1784435145.608,229.41,200,measure
1784435145.392,708.621,200,measure
1784435145.361,740.892,200,measure
1784435145.722,417.199,200,measure
