ts,tenant,latency_ms,status,phase
1784412750.104,default-org,1750.979,200,warmup
1784412750.114,default-org,1941.745,200,warmup
1784412750.116,default-org,2033.278,200,warmup
1784412750.118,default-org,2033.486,200,warmup
1784412751.855,default-org,494.249,200,warmup
1784412750.115,default-org,2339.442,200,warmup
1784412750.107,default-org,2364.223,200,warmup
1784412750.102,default-org,2565.026,200,warmup
1784412750.108,default-org,2941.722,200,warmup
1784412750.079,default-org,2971.055,200,warmup
1784412750.085,default-org,2971.255,200,warmup
1784412753.056,default-org,596.526,200,warmup
1784412753.05,default-org,770.829,200,warmup
1784412753.82,default-org,429.601,200,warmup
1784412752.454,default-org,2031.499,200,warmup
1784412750.115,default-org,4542.187,200,warmup
1784412752.349,default-org,2323.518,200,warmup
1784412750.114,default-org,4941.048,200,warmup
1784412754.672,default-org,445.879,200,warmup
1784412752.056,default-org,3112.593,200,warmup
1784412752.471,default-org,2782.767,200,warmup
1784412755.118,default-org,273.333,200,warmup
1784412754.657,default-org,1094.533,200,warmup
1784412750.111,default-org,5655.858,200,warmup
1784412752.667,default-org,3300.22,200,warmup
1784412755.751,default-org,402.007,200,warmup
1784412755.967,default-org,314.992,200,warmup
1784412756.154,default-org,324.444,200,warmup
1784412750.106,default-org,6860.763,200,warmup
1784412756.967,default-org,169.326,200,warmup
1784412754.486,default-org,2984.138,200,warmup
1784412757.47,default-org,160.956,200,warmup
1784412752.152,default-org,5615.008,200,warmup
1784412757.767,default-org,287.313,200,warmup
1784412750.116,default-org,8056.339,200,warmup
1784412752.149,default-org,6109.732,200,warmup
1784412750.118,default-org,8445.606,503,warmup
1784412758.259,default-org,314.841,200,warmup
1784412758.172,default-org,622.318,200,warmup
1784412758.574,default-org,279.111,200,warmup
1784412754.25,default-org,5018.045,200,warmup
1784412759.268,default-org,171.503,200,warmup
1784412755.767,default-org,3988.419,200,warmup
1784412759.755,default-org,183.954,200,measure
1784412753.05,default-org,7600.529,503,warmup
1784412755.254,default-org,5495.168,200,warmup
1784412755.168,default-org,5595.473,200,warmup
1784412753.653,default-org,7218.415,200,warmup
1784412760.651,default-org,502.18,200,measure
1784412757.631,default-org,3825.591,200,warmup
1784412761.153,default-org,517.243,200,measure
1784412760.764,default-org,959.871,200,measure
1784412761.724,default-org,211.494,200,measure
1784412760.749,default-org,1222.849,200,measure
1784412756.282,default-org,6481.354,200,warmup
1784412755.055,default-org,7900.209,503,warmup
1784412762.764,default-org,260.724,200,measure
1784412763.024,default-org,207.691,200,measure
1784412755.392,default-org,8077.563,200,warmup
1784412763.469,default-org,165.439,200,measure
1784412760.871,default-org,2995.829,200,measure
1784412758.563,default-org,5494.168,200,warmup
1784412759.44,default-org,4728.269,200,warmup
1784412757.136,default-org,7213.879,200,warmup
1784412756.478,default-org,7982.588,503,warmup
1784412761.972,default-org,2691.921,200,measure
1784412763.867,default-org,1086.426,200,measure
1784412758.054,default-org,7018.56,200,warmup
1784412764.35,default-org,1000.912,200,measure
1784412764.461,default-org,992.37,200,measure
1784412763.232,default-org,2327.623,200,measure
1784412764.954,default-org,698.997,200,measure
1784412762.956,default-org,2814.543,200,measure
1784412758.794,default-org,7063.46,503,warmup
1784412765.351,default-org,624.321,200,measure
1784412758.853,default-org,7496.827,503,warmup
1784412765.653,default-org,722.387,200,measure
1784412765.77,default-org,710.641,200,measure
1784412759.939,default-org,6623.333,503,measure
1784412764.058,default-org,2615.329,200,measure
1784412765.976,default-org,809.829,200,measure
1784412764.168,default-org,2802.219,200,measure
1784412766.481,default-org,694.123,200,measure
1784412765.073,default-org,2490.124,200,measure
1784412767.175,default-org,478.565,200,measure
1784412761.67,default-org,5995.765,200,measure
1784412767.666,default-org,249.338,200,measure
1784412766.563,default-org,1380.913,200,measure
1784412761.457,default-org,6511.909,503,measure
1784412767.969,default-org,166.214,200,measure
1784412765.453,default-org,2804.949,200,measure
1784412766.97,default-org,1299.489,200,measure
1784412761.935,default-org,6624.842,503,measure
1784412768.27,default-org,381.952,200,measure
1784412768.258,default-org,421.381,200,measure
1784412766.375,default-org,2396.06,200,measure
1784412768.771,default-org,397.377,200,measure
1784412768.679,default-org,563.808,200,measure
1784412763.635,default-org,6026.111,503,measure
1784412769.661,default-org,191.521,200,measure
1784412766.785,default-org,4181.767,200,measure
1784412767.654,default-org,3508.219,200,measure
1784412770.967,default-org,216.557,200,measure
1784412771.162,default-org,197.994,200,measure
1784412766.673,default-org,5193.399,200,measure
1784412764.664,default-org,7292.136,503,measure
1784412766.35,default-org,5615.883,200,measure
1784412765.56,default-org,6406.645,200,measure
1784412767.915,default-org,4340.391,200,measure
1784412769.243,default-org,3321.564,200,measure
1784412767.563,default-org,5005.482,200,measure
1784412771.956,default-org,797.72,200,measure
1784412771.866,default-org,905.636,200,measure
1784412768.56,default-org,4309.55,200,measure
1784412772.565,default-org,489.17,200,measure
1784412765.858,default-org,7205.124,503,measure
1784412771.966,default-org,1189.583,200,measure
1784412768.652,default-org,4616.314,200,measure
1784412767.944,default-org,5624.48,200,measure
1784412769.852,default-org,3917.826,200,measure
1784412772.256,default-org,1899.538,200,measure
1784412773.054,default-org,1437.286,200,measure
1784412773.268,default-org,1384.262,200,measure
1784412768.135,default-org,6831.854,200,measure
1784412774.652,default-org,496.896,200,measure
1784412772.772,default-org,2389.617,200,measure
1784412773.063,default-org,2119.337,200,measure
1784412774.491,default-org,861.59,200,measure
1784412771.184,default-org,4277.976,200,measure
1784412775.462,default-org,736.655,200,measure
1784412775.162,default-org,1188.569,200,measure
1784412773.156,default-org,3221.856,200,measure
1784412775.353,default-org,1097.236,200,measure
1784412771.966,default-org,4502.527,200,measure
1784412776.378,default-org,249.351,200,measure
1784412769.169,default-org,7596.74,503,measure
1784412772.87,default-org,3897.123,200,measure
1784412774.155,default-org,2612.099,200,measure
1784412776.627,default-org,242.213,200,measure
1784412776.767,default-org,435.353,200,measure
1784412776.765,default-org,484.266,200,measure
1784412771.36,default-org,6097.953,503,measure
1784412777.458,default-org,240.645,200,measure
1784412777.25,default-org,532.968,200,measure
1784412775.149,default-org,3603.085,200,measure
1784412775.182,default-org,3675.983,200,measure
1784412778.752,default-org,197.889,200,measure
1784412778.858,default-org,272.07,200,measure
1784412772.568,default-org,6688.796,503,measure
1784412772.754,default-org,6509.891,200,measure
1784412779.257,default-org,242.753,200,measure
1784412779.264,default-org,393.538,200,measure
1784412773.568,default-org,7185.691,503,measure
1784412776.198,default-org,4662.06,200,measure
1784412780.754,default-org,299.3,200,measure
1784412780.861,default-org,287.926,200,measure
1784412776.468,default-org,4891.858,200,measure
1784412774.967,default-org,6511.965,200,measure
1784412781.36,default-org,198.907,200,measure
1784412781.479,default-org,228.395,200,measure
1784412777.202,default-org,4863.258,200,measure
1784412773.77,default-org,8401.52,503,measure
1784412776.45,default-org,5722.87,200,measure
1784412782.065,default-org,186.693,200,measure
1784412779.5,default-org,2915.816,200,measure
1784412777.698,default-org,4771.435,200,measure
1784412782.172,default-org,316.357,200,measure
1784412782.252,default-org,509.981,200,measure
1784412778.95,default-org,3815.325,200,measure
1784412777.783,default-org,4985.768,200,measure
1784412782.416,default-org,452.224,200,measure
1784412782.768,default-org,208.366,200,measure
1784412782.488,default-org,591.625,200,measure
